ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde
113,Sint-Agatha-Berchem,25.179,3.747,"2,95",8.537,"85,6",Brussel,50.8649231,4.2946734,"['50.8552706', '50.8748901', '4.2791942', '4.3140336']",Berchem-Sainte-Agathe,Sint-Agatha-Berchem,-,01.01.0001,31.12.9999
114,Westerlo,25.051,437,"55,13",454,"109,1",Antwerpen,51.086694,4.9168675,"['51.0638251', '51.1477363', '4.8116505', '4.9480634']",-,Westerlo,-,01.01.0001,31.12.9999
115,Ganshoren,24.902,2.453,"2,46",10.142,"84,4",Brussel,50.8703273,4.307798,"['50.8657487', '50.8821034', '4.2914001', '4.3261046']",Ganshoren,Ganshoren,-,01.01.0001,31.12.9999
117,Merelbeke,24.660,332,"36,65",673,"124,6",Oost-Vlaanderen,50.99575615,3.74567419991459,"['50.9648362', '51.0273469', '3.7110963', '3.779177']",-,Merelbeke,-,01.01.0001,31.12.9999
118,Zwevegem,24.656,163,"63,24",390,"106,8",West-Vlaanderen,50.80406995,3.34190674262759,"['50.7795268', '50.828156', '3.3049548', '3.3792626']",-,Zwevegem,-,01.01.0001,31.12.9999
119,Saint-Nicolas,24.263,636,"6,84",3.546,"74,2",Luik,50.6305341,5.539419,"['50.6129221', '50.6513592', '5.5066107', '5.5492644']",Saint-Nicolas,-,-,01.01.0001,31.12.9999
120,Diest,23.998,190,"58,20",412,"112,8",Vlaams-Brabant,50.98456645,5.05287349625504,"['50.9731545', '50.9960722', '5.0324812', '5.0700614']",-,Diest,-,01.01.0001,31.12.9999
121,Maldegem,23.774,199,"94,64",251,"103,3",Oost-Vlaanderen,51.2088871,3.4452214,"['51.146858', '51.2744554', '3.360477', '3.544934']",-,Maldegem,-,01.01.0001,31.12.9999
122,Oostkamp,23.698,239,"79,65",298,"111,1",West-Vlaanderen,51.1511469,3.24972641333963,"['51.115734', '51.186519', '3.1915152', '3.2973646']",-,Oostkamp,-,01.01.0001,31.12.9999
123,Oudsbergen,23.532,781,"116,24",202,,Limburg,51.0933149,5.5540751,"['51.0188206', '51.1463397', '5.4544044', '5.6660666']",-,Oudsbergen,-,01.01.2019,31.12.9999
124,Zemst,23.358,399,"42,83",545,"130,9",Vlaams-Brabant,50.9842166,4.4650814,"['50.9465279', '51.0093147', '4.3694339', '4.5287027']",-,Zemst,-,01.01.0001,31.12.9999
125,Saint-Ghislain,23.311,207,"70,18",332,"94,5",Henegouwen,50.4477484,3.8195241,"['50.4382063', '50.5415289', '3.7365195', '3.8794189']",Saint-Ghislain,-,-,01.01.0001,31.12.9999
126,Manage,23.308,524,"19,60",1.189,"80,6",Henegouwen,50.5040159,4.2355599,"['50.4649718', '50.522387', '4.2040892', '4.2817323']",Manage,-,-,01.01.2019,31.12.9999
126,Manage,23.308,524,"19,60",1.189,"80,6",Henegouwen,50.5040159,4.2355599,"['50.4649718', '50.522387', '4.2040892', '4.2817323']",Manage,-,-,01.01.0001,31.12.2018
127,Scherpenheuvel-Zichem,23.029,381,"50,50",456,"109,2",Vlaams-Brabant,50.9799172,4.9729866,"['50.9530681', '51.0461797', '4.902425', '5.0222562']",Montaigu-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,02.01.1977,31.12.9999
128,Nijlen,22.949,543,"39,09",587,"108,3",Antwerpen,51.1611887,4.67095173170495,"['51.1411123', '51.1810801', '4.6249515', '4.7202599']",-,Nijlen,-,01.01.0001,31.12.9999
129,Fleurus,22.918,227,"59,28",387,"87,4",Henegouwen,50.482944,4.549699,"['50.4379751', '50.5423059', '4.4782107', '4.6007581']",Fleurus,-,-,01.01.0001,31.12.9999
130,Zedelgem,22.819,281,"60,34",378,"108,6",West-Vlaanderen,51.1389736,3.1395587,"['51.083988', '51.1674434', '3.0574805', '3.2152735']",-,Zedelgem,-,01.01.0001,31.12.9999
131,Grâce-Hollogne,22.660,231,"34,24",662,"83,7",Luik,50.644955,5.503152,"['50.6139077', '50.6611272', '5.3493908', '5.5126066']",Grâce-Hollogne,-,-,01.01.1971,31.12.9999
132,Balen,22.618,467,"72,88",310,"103,2",Antwerpen,51.1707551,5.1696859,"['51.116142', '51.2111377', '5.0886974', '5.2622543']",-,Balen,-,01.01.0001,31.12.9999
133,Rixensart,22.558,746,"17,54",1.286,"125,4",Waals-Brabant,50.7122504,4.5216455,"['50.6950841', '50.7487935', '4.477272', '4.5666973']",Rixensart,-,-,01.01.0001,31.12.9999
134,Lochristi,22.489,253,"60,34",373,"118,8",Oost-Vlaanderen,51.09792835,3.83556137314955,"['51.074268', '51.1215188', '3.7866116', '3.8789317']",-,Lochristi,-,01.01.0001,31.12.9999
135,Tervuren,22.422,522,"32,92",681,"127,2",Vlaams-Brabant,50.8241883,4.5138824,"['50.7938148', '50.8674578', '4.4471762', '4.5864205']",-,Tervuren,-,01.01.0001,31.12.9999
136,Edegem,22.063,2.006,"8,65",2.550,"127,4",Antwerpen,51.1548066,4.4458312,"['51.1444366', '51.1732113', '4.3969953', '4.463714']",-,Edegem,-,01.01.0001,31.12.9999
137,Koekelberg,21.990,1.000,"1,17",18.755,"69,9",Brussel,50.8606042,4.3315503,"['50.8567758', '50.8676331', '4.3070126', '4.3377383']",Koekelberg,Koekelberg,-,01.01.0001,31.12.9999
138,Zoersel,21.944,1.280,"38,65",568,"119,2",Antwerpen,51.2624772,4.69216389230367,"['51.2392646', '51.2856643', '4.6440232', '4.7433341']",-,Zoersel,-,01.01.0001,31.12.9999
139,Frameries,21.934,172,"25,95",845,"84,6",Henegouwen,50.4087571,3.8905656,"['50.3422049', '50.4242963', '3.8380031', '3.9492926']",Frameries,-,-,01.01.0001,31.12.9999
140,Koksijde,21.910,893,"43,96",498,"135,2",West-Vlaanderen,51.1091101,2.63534260150223,"['51.0834698', '51.1351356', '2.6021169', '2.6691673']",-,Koksijde,-,01.01.0001,31.12.9999
142,Herent,21.682,447,"32,73",662,"136,3",Vlaams-Brabant,50.9029514,4.6728253,"['50.8784551', '50.946513', '4.5985044', '4.7024905']",-,Herent,-,01.01.0001,31.12.9999
143,Bornem,21.366,224,"45,76",467,"118,2",Antwerpen,51.09096325,4.23896772344979,"['51.0598325', '51.1216274', '4.1826086', '4.2795789']",-,Bornem,-,01.01.0001,31.12.9999
144,Hoogstraten,21.355,335,"105,32",203,"99,8",Antwerpen,51.39574085,4.74406564141858,"['51.3756418', '51.4161913', '4.7092841', '4.7853199']",-,Hoogstraten,-,01.01.0001,31.12.9999
145,Zonhoven,21.237,770,"39,34",540,"105,3",Limburg,50.9909835,5.3677683,"['50.9629612', '51.011948', '5.3010367', '5.4647881']",-,Zonhoven,-,01.01.0001,31.12.9999
146,Hoei,21.227,183,"47,74",445,"92,1",Luik,50.5180856,5.2408138,"['50.467667', '50.5388709', '5.1291778', '5.3237166']",Huy,Hoei,-,01.01.0001,31.12.9999
147,Eeklo,21.134,237,"30,05",703,"100,7",Oost-Vlaanderen,51.1844827,3.5665965,"['51.162342', '51.2188333', '3.508273', '3.609127']",-,Eeklo,-,01.01.0001,31.12.9999
148,Zele,21.125,184,"33,06",639,"97,8",Oost-Vlaanderen,51.0683621,4.0385864,"['51.032115', '51.1023619', '3.9718202', '4.0925235']",-,Zele,-,01.01.0001,31.12.9999
149,Kontich,21.115,485,"23,67",892,"126,2",Antwerpen,51.134377,4.4456359,"['51.0930232', '51.1498225', '4.3964534', '4.486627']",-,Kontich,-,01.01.0001,31.12.9999
150,Wuustwezel,20.970,543,"89,43",234,"104,4",Antwerpen,51.38525,4.56517434504015,"['51.3375747', '51.4328485', '4.5063004', '4.6413243']",-,Wuustwezel,-,01.01.0001,31.12.9999
151,Colfontaine,20.811,141,"13,62",1.528,"72,3",Henegouwen,50.4056635,3.8513958,"['50.3792096', '50.4346477', '3.8140558', '3.8718733']",Colfontaine,-,-,02.01.1977,31.12.9999
152,Chaudfontaine,20.800,401,"25,52",815,"129,3",Luik,50.5847922,5.6469688,"['50.5495905', '50.6148987', '5.5888879', '5.6807491']",Chaudfontaine,-,-,01.01.0001,31.12.9999
153,Sint-Katelijne-Waver,20.792,376,"36,12",576,"116,3",Antwerpen,51.06232435,4.51142781401469,"['51.0346518', '51.0897868', '4.462809', '4.5697592']",-,Sint-Katelijne-Waver,-,01.01.0001,31.12.9999
154,Dilsen-Stokkem,20.590,466,"65,61",314,"93,0",Limburg,51.0284779,5.7311405,"['50.9958517', '51.0823295', '5.6223653', '5.8011678']",-,Dilsen-Stokkem,-,28.07.1987,31.12.9999
155,Tielt,20.502,120,"68,50",299,"102,2",West-Vlaanderen,51.0002939,3.3273362,"['50.9610745', '51.0538674', '3.28629', '3.4525562']",-,Tielt,-,01.01.0001,31.12.9999
156,Torhout,20.463,241,"45,23",452,"103,5",West-Vlaanderen,51.0585915,3.09130720454545,"['51.013576', '51.103847', '3.0434739', '3.1579627']",-,Torhout,-,01.01.0001,31.12.9999
157,Blankenberge,20.436,713,"17,41",1.174,"101,4",West-Vlaanderen,51.31651475,3.13225603143341,"['51.3062882', '51.3266288', '3.1071895', '3.1559711']",-,Blankenberge,-,01.01.0001,31.12.9999
158,Denderleeuw,20.338,497,"13,77",1.477,"105,1",Oost-Vlaanderen,50.8834499,4.0816397,"['50.864534', '50.911647', '4.028659', '4.089654']",-,Denderleeuw,-,01.01.0001,31.12.9999
159,Kortenberg,20.279,449,"34,52",588,"125,2",Vlaams-Brabant,50.8858727,4.5390678,"['50.8558486', '50.9348443', '4.5150533', '4.614674']",-,Kortenberg,-,01.01.0001,31.12.9999
160,Boussu,19.824,217,"20,01",991,"77,4",Henegouwen,50.4331253,3.7960902,"['50.3949879', '50.4525039', '3.7582568', '3.8435475']",Boussu,-,-,01.01.0001,31.12.9999
161,Erpe-Mere,19.811,206,"34,03",582,"118,3",Oost-Vlaanderen,50.9226391,3.9459888,"['50.873878', '50.9559796', '3.8927333', '4.0112362']",-,Erpe-Mere,-,01.01.1977,31.12.9999
162,Poperinge,19.702,97,"119,33",165,"94,2",West-Vlaanderen,50.85257975,2.71249955847249,"['50.813372', '50.891857', '2.6580541', '2.7826723']",-,Poperinge,-,01.01.0001,31.12.9999
164,Schilde,19.652,950,"35,99",546,"141,6",Antwerpen,51.257095,4.59551821317663,"['51.2197795', '51.2956505', '4.5461346', '4.6331384']",-,Schilde,-,01.01.0001,31.12.9999
165,Meise,19.411,326,"34,82",557,"132,0",Vlaams-Brabant,50.9341625,4.3287322,"['50.9204116', '51.0043784', '4.2704571', '4.3535204']",-,Meise,-,01.01.0001,31.12.9999
166,Sint-Gillis-Waas,19.370,214,"54,98",352,"109,6",Oost-Vlaanderen,51.2179895,4.1286101,"['51.17543', '51.2928204', '4.0591166', '4.1666333']",-,Sint-Gillis-Waas,-,01.01.0001,31.12.9999
167,Middelkerke,19.336,313,"75,65",256,"103,1",West-Vlaanderen,51.18331695,2.8063401225473,"['51.1643568', '51.202037', '2.7739754', '2.8517612']",-,Middelkerke,-,01.01.0001,31.12.9999
168,Lebbeke,19.321,268,"26,92",718,"108,9",Oost-Vlaanderen,51.0004013,4.1307711,"['50.9670261', '51.0216527', '4.0711185', '4.1689591']",-,Lebbeke,-,01.01.0001,31.12.9999
169,Jemeppe-sur-Sambre,19.190,249,"46,80",410,"94,5",Namen,50.46299585,4.65459860124072,"['50.4427451', '50.4831042', '4.6333851', '4.677008']",Jemeppe-sur-Sambre,-,-,02.01.1977,31.12.9999
170,Morlanwelz,19.065,316,"20,26",941,"86,1",Henegouwen,50.4509843,4.2523562,"['50.4219781', '50.4746818', '4.1970488', '4.2832063']",Morlanwelz,-,-,01.01.2019,31.12.9999
170,Morlanwelz,19.065,316,"20,26",941,"86,1",Henegouwen,50.4509843,4.2523562,"['50.4219781', '50.4746818', '4.1970488', '4.2832063']",Morlanwelz,-,-,01.01.0001,31.12.2018
171,Zwijndrecht,19.056,548,"17,82",1.069,"111,3",Antwerpen,51.2185443,4.3302898,"['51.1843653', '51.261869', '4.2902985', '4.3569155']",-,Zwijndrecht,-,01.01.0001,31.12.9999
172,Essen,19.038,761,"47,48",401,"100,7",Antwerpen,51.4677957,4.4701309,"['51.4154863', '51.4823977', '4.379317', '4.5481609']",-,Essen,-,01.01.0001,31.12.9999
173,Diepenbeek,19.031,683,"41,19",462,"106,1",Limburg,50.9078485,5.4200307,"['50.874189', '50.9507023', '5.3651311', '5.479089']",-,Diepenbeek,-,01.01.0001,31.12.9999
174,Ranst,19.008,379,"43,58",436,"119,0",Antwerpen,51.1961732,4.56375636140093,"['51.1750533', '51.2174096', '4.5300817', '4.5933207']",-,Ranst,-,01.01.0001,31.12.9999
175,Quaregnon,19.007,256,"11,08",1.716,"75,8",Henegouwen,50.4421804,3.8636971,"['50.4113763', '50.4593221', '3.8284784', '3.8851582']",Quaregnon,-,-,01.01.0001,31.12.9999
176,Wervik,18.767,192,"43,61",430,"92,2",West-Vlaanderen,50.79981455,3.04298823299639,"['50.7697292', '50.8298611', '2.9986621', '3.0969179']",-,Wervik,-,01.01.0001,31.12.9999
177,Londerzeel,18.749,243,"36,29",517,"119,5",Vlaams-Brabant,51.0122466,4.29907294163378,"['50.9840243', '51.0405171', '4.2618683', '4.3334492']",-,Londerzeel,-,01.01.0001,31.12.9999
178,Stabroek,18.710,749,"21,51",870,"114,4",Antwerpen,51.33518735,4.37031201604402,"['51.313495', '51.3567032', '4.3262167', '4.4060693']",-,Stabroek,-,01.01.0001,31.12.9999
179,Lede,18.701,229,"29,69",630,"112,7",Oost-Vlaanderen,50.9698619,3.98787578201861,"['50.9525554', '50.9871703', '3.9451336', '4.0240394']",-,Lede,-,01.01.0001,31.12.9999
180,Kalmthout,18.695,680,"59,45",314,"113,1",Antwerpen,51.3832723,4.4763255,"['51.3524195', '51.4537909', '4.3836601', '4.5354089']",-,Kalmthout,-,01.01.0001,31.12.9999
181,Lessen,18.656,108,"72,29",258,"92,3",Henegouwen,50.7123036,3.8301131,"['50.6693987', '50.7516088', '3.745127', '3.9134557']",Lessines,Lessen,,01.01.2019,31.12.9999
181,Lessen,18.656,108,"72,29",258,"92,3",Henegouwen,50.7123036,3.8301131,"['50.6693987', '50.7516088', '3.745127', '3.9134557']",Lessines,Lessen,-,01.01.0001,31.12.2018
182,Kasterlee,18.655,414,"71,52",261,"113,4",Antwerpen,51.2487915,4.98953271076084,"['51.2132485', '51.2846403', '4.9374893', '5.032326']",-,Kasterlee,-,01.01.0001,31.12.9999
183,Haaltert,18.633,205,"30,30",615,"115,5",Oost-Vlaanderen,50.9022532,4.0057717,"['50.8585344', '50.9163512', '3.937102', '4.0414805']",-,Haaltert,-,01.01.0001,31.12.9999
184,Tessenderlo,18.613,570,"51,35",362,"108,5",Limburg,51.0681628,5.0893974,"['51.015482', '51.0854839', '4.9801293', '5.1838792']",-,Tessenderlo,-,01.01.0001,31.12.9999
185,Stekene,18.445,264,"44,80",412,"105,8",Oost-Vlaanderen,51.2104744,4.02404125321308,"['51.1759752', '51.2456784', '3.9777255', '4.0698835']",-,Stekene,-,01.01.0001,31.12.9999
186,Walcourt,18.430,167,"123,18",150,"101,2",Namen,50.2532022,4.4347509,"['50.2159594', '50.3289792', '4.285932', '4.5451613']",Walcourt,-,-,01.01.0001,31.12.9999
187,Sint-Genesius-Rode,18.387,654,"22,77",807,"133,8",Vlaams-Brabant,50.74503,4.3463687,"['50.7151041', '50.7733166', '4.3212035', '4.4240096']",Rhode-Saint-Genèse,Sint-Genesius-Rode,-,01.01.0001,31.12.9999
188,Destelbergen,18.271,336,"26,56",688,"125,1",Oost-Vlaanderen,51.0556204,3.7978887,"['50.993083', '51.0824688', '3.7560727', '3.844474']",-,Destelbergen,-,01.01.0001,31.12.9999
189,Boom,18.244,229,"7,37",2.477,"94,8",Antwerpen,51.0873789,4.3667216,"['51.080448', '51.1062013', '4.340287', '4.4062338']",-,Boom,-,01.01.0001,31.12.9999
190,Bredene,18.095,721,"13,08",1.384,"104,9",West-Vlaanderen,51.23890495,2.97257694682836,"['51.214313', '51.2634033', '2.9409715', '3.0125936']",-,Bredene,-,01.01.0001,31.12.9999
191,Beerse,18.084,1.297,"37,48",482,"111,0",Antwerpen,51.3134921,4.83754174982487,"['51.282533', '51.344377', '4.7758656', '4.8959774']",-,Beerse,-,01.01.0001,31.12.9999
192,Herzele,18.027,164,"47,40",380,"114,7",Oost-Vlaanderen,50.8848043,3.8935574,"['50.82172', '50.9181466', '3.8377467', '3.949081']",-,Herzele,-,01.01.0001,31.12.9999
193,Komen-Waasten,18.271,169,"61,09",295,"82,9",Henegouwen,50.7683055,3.0001175,"['50.6923535', '50.810512', '2.8420347', '3.029316']",Comines-Warneton,Komen-Waasten,,01.01.2019,31.12.9999
193,Komen-Waasten,18.271,169,"61,09",295,"82,9",Henegouwen,50.7683055,3.0001175,"['50.6923535', '50.810512', '2.8420347', '3.029316']",Comines-Warneton,Komen-Waasten,-,17.07.1982,31.12.2018
194,Wezet,17.812,230,"27,99",636,"94,2",Luik,50.7347797,5.6936397,"['50.671238', '50.8121222', '5.6482547', '5.724954']",Visé,Wezet,-,01.01.0001,31.12.9999
195,Fontaine-l'Evêque,17.806,330,"28,41",627,"84,4",Henegouwen,50.4117794,4.3246322,"['50.3661232', '50.4472299', '4.290438', '4.3564772']",Fontaine-l'Evêque,-,-,01.01.0001,31.12.9999
196,Putte,17.800,416,"34,96",509,"111,9",Antwerpen,51.0570823,4.6310473,"['51.0172114', '51.0868706', '4.5635107', '4.6892471']",-,Putte,-,01.01.0001,31.12.9999
197,Herve,17.609,139,"56,84",310,"102,8",Luik,50.6392112,5.7935245,"['50.5948597', '50.703202', '5.7299908', '5.8609072']",Herve,-,-,01.01.0001,31.12.9999
198,Duffel,17.491,413,"22,71",770,"113,5",Antwerpen,51.0957176,4.5061988,"['51.072574', '51.1169263', '4.4647516', '4.5752018']",-,Duffel,-,01.01.0001,31.12.9999
199,Marche-en-Famenne,17.465,289,"121,40",144,"91,4",Luxemburg,50.2265147,5.3407365,"['50.157298', '50.2786904', '5.2065336', '5.4722466']",Marche-en-Famenne,-,-,01.01.0001,31.12.9999
200,Pont-à-Celles,17.371,224,"55,73",312,"105,1",Henegouwen,50.5122563,4.3617367,"['50.4679776', '50.5628838', '4.3073943', '4.4564952']",Pont-à-Celles,-,-,01.01.0001,31.12.9999
201,Péruwelz,17.159,95,"60,56",283,"86,5",Henegouwen,50.5097897,3.5908864,"['50.4867209', '50.5800898', '3.4962569', '3.6291618']",Péruwelz,-,-,01.01.0001,31.12.9999
202,Aubange,17.093,433,"45,60",375,"88,6",Luxemburg,49.5671953,5.8044993,"['49.5388', '49.6117468', '5.7036732', '5.873255']",Aubange,-,-,01.01.0001,31.12.9999
203,Soumagne,16.925,321,"27,14",624,"99,3",Luik,50.6147718,5.739941,"['50.5992438', '50.6665238', '5.6891627', '5.76894']",Soumagne,-,-,01.01.0001,31.12.9999
204,Rotselaar,16.793,304,"37,57",447,"126,3",Vlaams-Brabant,50.9514713,4.7094054,"['50.928425', '50.9862828', '4.6699517', '4.8033347']",-,Rotselaar,-,01.01.0001,31.12.9999
205,Riemst,16.755,242,"57,88",289,"97,5",Limburg,50.8115825,5.5978716,"['50.7635019', '50.843358', '5.513876', '5.6882251']",-,Riemst,-,01.01.0001,31.12.9999
206,Kruibeke,16.745,153,"33,42",501,"110,5",Oost-Vlaanderen,51.17625475,4.29814784422281,"['51.15361', '51.1980491', '4.2502472', '4.3295832']",-,Kruibeke,-,01.01.0001,31.12.9999
207,Diksmuide,16.743,86,"149,40",112,"95,1",West-Vlaanderen,51.0333408,2.8647185,"['50.9753127', '51.1161778', '2.7432773', '2.9516269']",Dixmude,Diksmuide,Diksmuide,01.01.0001,31.12.9999
208,Dour,16.644,137,"33,32",500,"82,2",Henegouwen,50.3978815,3.7806897,"['50.3532085', '50.4206167', '3.7250145', '3.8525357']",Dour,-,-,01.01.0001,31.12.9999
209,Merchtem,16.583,257,"36,72",452,"122,0",Vlaams-Brabant,50.9591981,4.2327769,"['50.9089291', '50.9984755', '4.1814947', '4.3018417']",-,Merchtem,-,01.01.0001,31.12.9999
210,Ciney,16.580,236,"147,56",112,"96,0",Namen,50.2964911,5.1008664,"['50.2084653', '50.3404316', '5.002632', '5.2614722']",Ciney,-,-,01.01.0001,31.12.9999
211,Hannuit,16.571,150,"86,53",192,"105,5",Luik,50.6724649,5.0779916,"['50.5983981', '50.7161471', '4.9871544', '5.1624679']",Hannut,Hannuit,-,01.01.0001,31.12.9999
212,Lille,16.529,494,"59,40",278,"107,6",Antwerpen,51.238218,4.8242404,"['51.2069507', '51.2989944', '4.7613106', '4.9072917']",-,Lille,-,01.01.0001,31.12.9999
213,Fléron,16.526,476,"13,72",1.204,"93,4",Luik,50.6168354,5.6832219,"['50.5900061', '50.6449262', '5.6442254', '5.7162488']",Fléron,-,-,01.01.0001,31.12.9999
214,Wemmel,16.491,1.283,"8,74",1.886,"117,0",Vlaams-Brabant,50.9087716,4.3034586,"['50.8904657', '50.9280881', '4.2778019', '4.3390668']",-,Wemmel,-,01.01.0001,31.12.9999
215,Peer,16.357,513,"86,95",188,"98,2",Limburg,51.10874,5.44915721900614,"['51.0549941', '51.1642631', '5.4037811', '5.4957315']",-,Peer,-,01.01.0001,31.12.9999
217,Laakdal,16.101,343,"42,48",379,"105,9",Antwerpen,51.0802695,5.0073022,"['51.0348746', '51.115985', '4.9285206', '5.1065125']",-,Laakdal,-,03.01.1977,31.12.9999
218,Bree,16.085,387,"64,96",248,"98,6",Limburg,51.1386239,5.6229805058514,"['51.1101977', '51.1669363', '5.5803082', '5.7124915']",-,Bree,-,01.01.0001,31.12.9999
219,Bastenaken,15.985,249,"172,03",93,"91,5",Luxemburg,50.0023192,5.7173293,"['49.90779', '50.1161415', '5.6406483', '5.8699093']",Bastogne,Bastenaken,-,01.01.0001,31.12.9999
220,Landen,15.951,283,"54,05",295,"111,3",Vlaams-Brabant,50.7530146,5.0813154,"['50.7033512', '50.79479', '4.983916', '5.1214463']",-,Landen,-,01.01.0001,31.12.9999
221,Beernem,15.763,164,"71,68",220,"106,8",West-Vlaanderen,51.12774395,3.31450674987328,"['51.0989049', '51.1567396', '3.2738672', '3.3786036']",-,Beernem,-,01.01.0001,31.12.9999
222,Leopoldsburg,15.755,448,"22,49",701,"96,7",Limburg,51.1220584,5.26389242947846,"['51.0992093', '51.1471207', '5.2363117', '5.3011152']",Bourg-Léopold,Leopoldsburg,Leopoldsburg,01.01.0001,31.12.9999
223,Ternat,15.746,316,"24,48",643,"122,1",Vlaams-Brabant,50.8713392,4.1756966,"['50.8407022', '50.8896895', '4.1061103', '4.2067954']",-,Ternat,-,01.01.0001,31.12.9999
224,Zulte,15.720,232,"32,52",483,"106,9",Oost-Vlaanderen,50.9206638,3.4485632,"['50.8968873', '50.983615', '3.415221', '3.527927']",-,Zulte,-,01.01.0001,31.12.9999
225,Kruisem,15.641,87,"70,69",221,,Oost-Vlaanderen,50.9085536,3.5648916,"['50.8698154', '50.9530743', '3.4665418', '3.6866619']",,Kruisem,,01.01.2019,31.12.9999
226,Malle,15.561,657,"51,99",299,"108,7",Antwerpen,51.2970123,4.6933094,"['51.2424772', '51.3268591', '4.633685', '4.7766514']",-,Malle,-,19.10.1979,31.12.9999
